diaglocalcode,diagnosis
DC10251,Dorsalgia_ unspecified_ lumbosacral region
DC10253,Antenatal screening for fetal growth retardation using ultrasound and other physical methods
DC10254,Postmastectomy lymphedema syndrome
DC10255,Open wounds involving multiple regions of lower limb (s)
DC10256,Respiratory tuberculosis unspecified_ confirmed bacteriologically and histologically
DC10257,Iridocyclitis_ unspecified
DC10258,Burn of unspecified degree of wrist and hand
DC1026,Other specific joint derangements NEC_ site unspecified
DC10262,Fetus and newborn affected by malpresentation before labour
DC10264,Epithelioma_ Benign
DC10267,Amebiasis_ unspecified
DC10268,Hemoglobinuria due to hemolysis from other external causes
DC1027,Tumor Cells_ Uncertain Whether Benign or Malignant
DC10274,Acute appendicitis with localized peritonitis
DC10275,Attention to colostomy
DC10277,Chronic congestive splenomegaly
DC10278,Injury of femoral artery
DC10279,Prolonged second stage (of labour)
DC1028,Other meniscus derangement_ Posterior horn of lateral meniscus
DC10280,Crushing injury of neck_ part unspecified
DC10281,Malignant neoplasm of breast unspecified
DC10282,Other hereditary ataxias
DC10284,Chronic ulcer of skin_ NEC
DC10285,Postmenopausal osteoporosis_ multiple sites
DC10286,Abscess of tendon sheath_ site unspecified
DC10287,Malignant Lymphoma_ Lymphoplasmacytic (C83.8)
DC10288,Campylobacter enteritis
DC10289,Insulin dependent diabetes mellitus with peripheral circulatory complications
DC10290,Benign and innocent cardiac murmurs
DC10291,Driver of car injured in collision with car_ pick-up truck or van in traffic accident
DC10292,Flexion deformity_ hand(carpus_ fingers_ metacarpus)
DC10293,Unspecified viral infection characterized by skin and mucous membrane lesions
DC10294,Cholecystitis_ unspecified
DC10295,Stiffness of joint_ NEC_ site unspecified
DC10297,Other soft tissue disorders related to use_ overuse and pressure_ site unspecified
DC103,Discoid meniscus(congenital)_ Other and unspecified lateral meniscus
DC1030,Injury of quadriceps muscle and tendon
DC10301,Traumatic amputation at knee level
DC10302,Influenza with other respiratory manifestations_ virus not identified
DC10304,Intradermal Nevus
DC10306,Malignant neoplasm of lateral wall of oropharynx
DC10307,Tuberculous esophagitis
DC10308,Acute lymphadenitis of face _head and neck
DC10309,Other specified diabetes mellitus with ophthalmic complications
DC1031,Crushing injury and traumatic amputation of unspecified body region
DC10310,Tremor_ unspecified
DC10311,Benign neoplasm of stomach
DC10312,Fracture of great toe_ closed
DC10314,Chronic gastrojejunal ulcer without hemorrhage or perforation
DC10317,Other psoriatic arthropathies_ site unspecified
DC10318,Nocardiosis_ unspecified
DC1032,Closed fracture of base of skull
DC10321,Phrenic nerve paralysis due to birth injury
DC10322,Other peritonitis
DC10323,Need for immunization against tuberculosis[BCG]
DC10324,Crushing injury of toe(s)
DC10325,Gestational [pregnancy-induced] hypertension without significant proteinuria
DC10326,True histiocytic lymphoma
DC10327,Other myositis_ site unspecified
DC10330,Abscess of bursa_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC10332,Hereditary ataxia_ unspecified
DC10334,Other malignant neoplasm of skin of trunk
DC10336,Neurinomatosis
DC10337,Cerebral hemorrhage due to birth injury
DC10341,Hypersensitivity angiitis
DC10342,Other obstetric injury to pelvic organs
DC10345,Ascites
DC10350,Paraganglioma NOS
DC10351,Osteoporosis of disuse_ site unspecified
DC10353,Cervical root disorder_ NEC
DC10354,Enterochromaffin-like cell carcinoid_ NOS
DC10357,Fracture of bony thorax_part unspecified_Closed
DC10359,Irritant contact dermatitis due to oils and greases
DC1036,Enterobacterial spondylitis_ lumbar region
DC10362,Rheumatism_ unspecified_ upper arm (humerus_ elbow joints)
DC10363,Hematocolpos
DC10364,Corns and callosities
DC10365,Drug-induced adrenocortical insufficiency
DC10366,Other chronic suppurative otitis media
DC10367,Functional intestinal disorder_ unspecified
DC10369,Fracture of crown of tooth without pulpal involvement
DC10371,Other chondrocalcinosis_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC10372,Enthesopathy_ unspecified_ forearm (radius_ ulna_ wrist joints)
DC10373,Arthrosis_ unspecified_ upper arm(humerus_ elbow joints)
DC10374,Injury of unspecified nerve at wrist and hand level
DC10375,Glanders
DC10376,Postprocedural hypothyroidism
DC10377,Other specified arthritis_ lower leg(fibula_ tibia_ knee joint)
DC1038,Burn of other and unspecified internal organs
DC10381,Acute lymphoblastic leukemia
DC10382,Small Cell Carcinoma NOS
DC10385,Fracture of thoracic vertebra_ level unspecified
DC10388,Effusion of joint_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC10393,Trichotillomania
DC10397,Sequelae of burn_ corrosion and frostbite of lower limb
DC10398,Cryptococcosis_ unspecified
DC10399,Other acute osteomyelitis_ site unspecified
DC10403,Pylorospasm_ NEC
DC10404,Toxic effect of other specified inorganic substances
DC10405,Obstetric hematoma of pelvis
DC10406,Injury of Achilles tendon
DC10407,Pityriasis rubra pilaris
DC10408,Nerve root and plexus compressions in intervertebral disc disorders
DC10410,Hyperkinetic conduct disorder
DC10411,Traumatic haemopneumothorax_ without open wound into thoracic cavity
DC10412,Carcinoma in situ other and unspecified female genital organs
DC10413,Fractures involving head with neck
DC10416,Muscle cramp
DC10417,Benign neoplasm of esophagus
DC10418,Discitis_ unspecified_ cervical region
DC10419,Disorders of mulcle_ unspecified_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC1042,Polyarthritis_ unspecified_ pelvic region and thigh
DC10420,Chronic instability of knee_ Lateral collateral ligament or Anterior horn of lateral meniscus
DC10423,Encephalopathy_ unspecified
DC10424,Other depressive episodes
DC10426,Slipped upper femoral epiphysis(nontraumatic)
DC10428,Injury of bronchus_ with open wound into thoracic cavity
DC10429,Dislocation of patella
DC1043,Other disorders of blood and blood-forming organs in diseases classified elsewhere
DC10430,Other specified disorders of synovium and tendon
DC10432,Olfactory Neurogenic Tumor
DC10433,Apraxia(������)
DC10434,Subacute osteomyelitis_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC10438,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances_ industrial and construction area
DC1044,Local infections of skin and subcutaneous tissue_ unspecified
DC10442,Carcinoid Tumor(Except of Appendix M8240/1) NOS
DC10443,Osteoporosis of disuse with pathological fracture_ multiple sites
DC10444,Gastrointestinal hemorrhage_ unspecified
DC10445,Unspecified contact dermatitis due to drugs in contact with skin
DC10446,Malignant otitis externa
DC10447,Common variable immunodeficiency_ unspecified
DC10448,Calculus of kidney with calculus of ureter
DC1045,Collapsed vertebra in diseases classified elsewhere_ site unspecified
DC10451,Geniculate ganglionitis
DC10453,Chronic iridocyclitis
DC10454,Other idiopathic scoliosis_ site unspecified
DC10455,Malignant neoplasm of vulva_ unspecified
DC10456,Adenocarcinoma In Multiple Adenomatous Polyps
DC10457,Acute cystitis
DC10458,Assault by blunt object_ school_ other institution and public administrative area
DC10459,Radiculopathy_ lumbar region
DC1046,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
DC10460,Malignant neoplasm of Ill-defined sites within the digestive system
DC10461,Accident to watercraft causing drowning and submersion_ unspecified watercraft
DC10463,Degenerative disease of nervous system_ unspecified
DC10464,Open wound of other parts of lower leg
DC10465,Orthostatic proteinuria_ unspecified
DC10467,Photocontact dermatitis[berloque dermatitis]
DC10468,Secondary malignant neoplasm of brain and cerebral meninges
DC1047,Gastro-esophageal reflux disease with esophagitis
DC10470,Mucinous Cystadenoma(D39.1)
DC10471,Other fracture of lower end of tibia
DC10472,Disruption of operation wound_ NEC
DC10473,Unspecified injury of trunk_ level unspecified
DC10474,Plicated tongue
DC10476,Reactive arthropathy_ unspecified_ lower leg(fibula_ tibia_ knee joint)
DC10478,Airway disease due to other specific organic dusts
DC1048,Dysplasia of cervix uteri_ unspecified
DC10480,Traumatic amputation of two or more fingers alone (complete)(partial)
DC10481,Open wound of vagina and vulva
DC10482,Occupational exposure to other risk-factors
DC10483,Malnutrition related diabetic with ketoacidosis
DC10484,Pre-existing secondary hypertension complicating pregnancy_ childbirth and the puerperium
DC10485,Leukemia NOS (C95.9)
DC10486,Other benign neoplasms of connective and other soft tissue of abdomen
DC10488,Severe visual impairment_ monocular
DC10489,Carcinoma in situ of anus and anal canal
DC1049,Perforation of bile duct
DC10490,Unspecified hematuria
DC10491,Iodine-deficiency-related (endemic) goitre_ unspecified
DC10493,Postmenopausal osteoporosis with pathological fracture_ multiple sites
DC10494,Other adrenogenital disorders
DC10496,Severe acute respiratory syndrome [SARS]_ unspecified
DC10497,Superficial injury of other parts of head
DC10498,Sixth([abducent] nerve palsy
DC10499,Generalized enlarged lymph nodes
DC105,Other specified arthritis_ hand(carpus_ fingers_ metacarpus)
DC1050,Other acute rheumatic heart disease
DC10500,Benzodiazepines causing adverse effects in therapeutic use
DC10501,Lobular carcinoma in situ
DC10502,Other internal derangement of knee_ combined injury(meniscus_ cruciate ligament_ collateral ligament_ posterolateral structures)
DC10503,Other synovitis and tenosynovitis_ forearm(radius_ ulna_ wrist joints)
DC10506,Febrile neutrophilic dermatosis [Sweet]
DC10507,Labyrinthine fistula
DC10508,Erythema intertrigo
DC10509,Hematosalpinx
DC1051,Other acute osteomyelitis_ lower leg (fibula_ tibia_ knee joint)
DC10510,Other spinal muscular atrophies and related syndromes
DC10513,Granuloma and granuloma-like lesions of oral mucosa
DC10514,Sprain and strain of ankle
DC10518,Osteoma NOS
DC10519,Retinal detachment with retinal break
DC10520,Peripheral T-Cell Lymphoma NOS (C84.4)
DC10521,Chilblains
DC10522,Petit mal_ unspecified_ without grand mal seizures
DC10525,Acute polymorphic psychotic disorder without symptoms of schizophrenia
DC10527,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere
DC10528,Fetus and newborn affected by other maternal complications of pregnancy
DC1053,Disorders of other endocrine glands in diseases classified elsewhere
DC10530,Pruritus vulvae
DC10531,Necrosis of artery
DC10532,Old laceration of cervix uteri
DC10533,Injury of peroneal artery
DC10535,Drowning and submersion_ undetermined intent_ farm
DC10536,Injury of median nerve at wrist and hand level
DC10537,Malignant neoplasm of abdomen
DC10538,Chondroblastoma NOS
DC10539,Vitamin A deficiency_ unspecified
DC1054,Disease of pancreas_ unspecified
DC10540,Other postprocedural endocrine and metabolic disorders
DC10541,Kaposi'S Sarcoma
DC10542,Other instability of joint_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC10543,Elevated erythrocyte sedimentation rate
DC10544,Acute peptic ulcer_ site unspecified without hemorrhage or perforation
DC10545,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
DC10547,Squamous Cell Carcinoma In Situ NOS
DC10548,Disorders of acoustic nerve
DC10549,Malignant neoplasm of pyriform sinus(�����)
DC1055,Disorder of eyelid_ unspecified
DC10552,Other disorders of globe
DC10554,Ulceroglandular tularemia
DC10555,Mild alcohol intoxication
DC10557,Concussion_ unspecified
DC10558,Aneurysm and dissection of artery of upper extremity
DC10559,Anisakiasis
DC10560,Closed fracture of shaft of tibia
DC10561,Injury of muscle and tendon of triceps
DC10562,Unspecified complication of internal prosthetic device_ implant and graft
DC10565,Sequelae of open wound of head
DC10566,Person injured in collision with heavy transport vehicle or bus while boarding or alighting on car
DC10567,Sprain and strain of cervical spine
DC10570,Examination of blood pressure
DC10573,Malignant neoplasm of overlapping lesion of respiratory and intrathoraic organs
DC10574,Exposure to unspecified electric current_ school_ other institution and public administrative area
DC10576,Wrist or foot drop(acquired)_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC10577,Halo Nevus
DC10578,Other specified rheumatoid arthritis_ site unspecified
DC10579,Combined Hepatocellular Carcinoma And Cholangiocarcinoma (C22.0)
DC10580,Berylliosis
DC10582,Anemia due to enzyme disorder_ unspecified
DC10583,Toxic effect of other specified gases_ fumes and vapours
DC10584,Disseminated intravascular coagulation[defibrination syndrome]
DC10585,Other specified injuries of ankle and foot
DC10586,Abnormal reaction to tuberculin test
DC10587,Glycogen storage disease
DC10589,Pre-existing hypertensive disorder with superimposed proteinuria
DC1059,Unknown and unspecified causes of morbidity
DC10590,Fracture of mandible of unspecified site
DC10591,Closed fracture of rib
DC10592,Poisoning by anti-common-cold drugs
DC10593,Chronic or unspecified gastrojejunal ulcer with hemorrhage
DC10595,Noninfectious dermatoses of eyelid
DC10598,Malignant neoplasm of rectum
DC106,Mesoblastic Nephroma
DC10601,Acute monoblastic and monocytic leukemia
DC10602,Diffuse cerebral and cerebellar brain injury_ unspecified
DC10603,Sprain and strain of other and unspecified parts of lumbar spine and pelvis
DC10605,Benign neoplasm of renal pelvis
DC10606,Dislocations_ sprains and strains involving multiple regions of lower limb (s)
DC10607,Myopathy_ unspecified
DC10608,Benign neoplasm of ovary_ Right
DC10609,Glomerular disorders in other endocrine_ nutritional and metabolic diseases
DC10611,Other specified interstitial pulmonary diseases
DC10613,Chronic conjunctivitis
DC10614,Person on outside of car injured in collision with car_ pick-up truck or van in traffic accident
DC10617,Entropion and trichiasis of eyelid
DC10618,Trichoepithelioma
DC1062,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease
DC10622,Juvenile arthritis in other diseases classified elsewhere_ site unspecified
DC10629,Other corneal edema
DC1063,Secondary malignsnt neoplasm of other and unspecified digestive organs
DC10630,Solitary Fibrous Tumor_ Benign
DC10631,Anomalies of dental arch relationship
DC10636,Acute myringitis
DC10637,Other dissociative [conversion] disorders
DC10639,Malignant neoplasm of lower outer quadrant of breast
DC1064,Anal prolapse
DC10641,Injury of heart with haemopericardium_ with open wound into thoracic cavity
DC10642,Internal derangement of knee_ unspecified_ Posterior horn of lateral meniscus
DC10643,Fatigue fracture of vertebra_ site unspecified
DC10644,Injury of eye and orbit_ unspecified
DC10645,Fall on same level involving ice and snow_ street and highway
DC10647,Pheochromocytoma NOS (D35.0)
DC1065,Foreign body in other and multiple parts of genitourinary tract
DC10651,Primary respiratory tuberculosis_ confirmed bacteriologically and histologically
DC10653,Hidrocystoma
DC10655,Myalgia_ shoulder region (clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC10656,Reactions and intoxications due to drugs administered to fetus and newborn
DC10657,Contracture of joint_ lower leg(fibula_ tibia_ knee joint)
DC10659,Deformity of orbit
DC10661,Pseudosarcomatous fibromatosis_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC10666,Juvenile osteochondrosis of head of femur[Legg Calve Perthes]
DC10667,Dehydration of newborn
DC10669,Hydronephrosis with ureteropelvic junction obstruction
DC1067,Other respiratory tuberculosis_ without mention of bacteriological or histological confirmation
DC10671,Other specified headache syndromes
DC10672,Exfoliation of teeth due to systemic causes
DC10675,Extreme obesity with alveolar hypoventilation
DC10676,Fatty (change of) liver_ NEC
DC10678,Lumbar and other intervertebral disc disorders with radiculopathy
DC10679,Fat necrosis of breast
DC10680,Discord with counsellors
DC10681,Malignant neoplasm of peripheral nerves of pelvis
DC10684,Cutaneous abscess_ furuncle and carbuncle of trunk
DC10685,Neoplasm of uncertain or unknown behavior of ovary
DC10686,Streptococcal pharyngitis
DC10687,Other specified viral encephalitis
DC1069,Malignant neoplasm_ primary site unknown_ so stated
DC10691,Tinea cruris
DC10693,Other and unspecified abnormalities of gait and mobility
DC10695,Fracture of navicular[scaphoid] bone of hand_ open
DC10697,Paralytic gait
DC10698,Dislocations_ sprains and strains involving head with neck
DC10699,Rhabdomyoma NOS
DC107,Nutritional and metabolic disorders in diseases classified elsewhere
DC10700,Osteoporosis_ unspecified_ multiple sites
DC10701,Radiculopathy_ cervical region
DC10702,Temporomandibular joint disorders                                                                                    
DC10703,Insulin dependent diabetes mellitus with other specified complications
DC10707,Specific disorder of arithmetical skills
DC10708,Gangrene and necrosis of lung
DC10709,Aortic arch syndrome[Takayasu]
DC1071,Glomerular disorders in neoplastic diseases
DC10710,Avulsion of scalp
DC10711,Arthrosis_ unspecified_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC10712,Driver of car injured in collision with fixed or stationary object in traffic accident
DC10713,Open fractures of other parts of lower leg
DC10716,Anemia complicating pregnancy_ childbirth and the puerperium(condition in D50-D64)
DC10718,Other specified symptoms and sings involving the digestive system and abdomen
DC10719,Malignant histiocytosis (C96.1)
DC10720,Fracture of interochanteric section of femur
DC10723,Paralytic calcificataion and ossification of mulcle_ site unspecified
DC10725,Inflammatory disorder of unspecified male genital organ
DC10726,Allergic and dietetic gastroenteritis and colitis
DC10727,Amputation of limbs as the cause of abnormal reation of the patient_ or of later complication_ without mention of misadventure at the time of the procedure
DC10728,Closed fracture of first metacarpal bone
DC10729,Toxoplasmosis_ unspecified
DC1073,Bitten or struck by dog_ farm
DC10730,Dermatitis due to unspecified substances taken internally
DC10731,Alopecia mucinosa
DC10732,Malignant neoplasm of cardia
DC10736,Fractures involving multiple regions of one upper limb
DC10737,Poisoning by benzodiazepine
DC10738,Primary coxarthrosis_ bilateral
DC10740,Birth injury to femur
DC10741,Other specified disorders of white blood cells
DC10743,Injury of other pelvic organs_ without open wound into cavity
DC10745,Other benign neoplasms of testis
DC10747,Other disorders of peripheral nervous system
DC10748,Other specified injuries of hip and thigh
DC10752,Predominantly allergic asthma
DC10753,Fracture of navicular[scaphoid] bone of hand_ closed
DC10754,Reiter's disease_ lower leg(fibula_ tibia_ knee joint)
DC10758,Severe depressive episode with psychotic symptoms
DC1076,Other specified nutritional anemias
DC10761,Suppurative otitis media_ unspecified
DC10762,Other specified perinatal digestive system disorders
DC10763,Endophthalmitis in diseases classified elsewhere
DC10764,Other epilepsy
DC10765,Malignant neoplasm of tongue_ unspecified
DC10767,Malignant neoplasm of optic nerve
DC10768,Malignant melanoma of eyelid_ including canthus
DC10769,Juvenile polyarthritis(seronegative)_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC1077,Pheochromocytoma Metastatic_ Malignant
DC10770,Striking against or bumped into another person_ unspecified place
DC10771,Demyelinating disease of central nervous system_ unspecified
DC10774,Observation for suspected tuberculosis
DC10776,Secondary and unspecified malignant neoplasm of lymph node_ unspecified
DC10777,Juvenile osteochondrosis of tibia and fibula
DC10778,Other recurrent and persistent hematuria
DC10779,Diverticular disease of small intestine with perforation and abscess
DC10781,Disorders of glycine metabolism
DC10783,Fourth degree perineal laceration during delivery
DC10785,Open wound of front wall of thorax
DC10786,Old myocardial infarction
DC10787,Other superficial injuries of abdomen_ lower back and pelvis
DC1079,Carcinoma in situ bladder
DC10790,Idiopathic osteoporosis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC10791,Delivery by cesarean section_ unspecified
DC10792,Glomerular disorders in systemic connective tissue disorders
DC10793,Other superficial injuries of abdomen_ lower back and pelvis_ unspecified injury
DC10794,Niacin deficiency [Pellagra]
DC10795,Malignant neoplasm of glans penis
DC10796,Other specified dorsopathies_ thoracic region
DC10799,Benign neoplasm of endocrine pancreas
DC10800,Fall on same level involving ice and snow_ unspecified place
DC10802,Closed fracture of upper end of tibia
DC10803,Nonrheumatic mitral valve disorder_ unspecified
