personid,sex,birthday,ethnicity
81242,0,1957-03-02 0:00,1
38724,0,1971-03-05 0:00,1
7254,1,1973-03-13 0:00,1
116414,0,1973-01-17 0:00,1
134588,1,1973-07-07 0:00,1
221353,1,1943-10-26 0:00,1
83065,1,1960-11-02 0:00,1
319229,1,1947-10-18 0:00,1
318173,0,1958-11-11 0:00,1
367560,0,1942-12-26 0:00,1
257791,1,1948-04-06 0:00,1
330191,0,1944-12-29 0:00,1
53038,0,1942-10-11 0:00,1
265671,1,1971-07-25 0:00,1
54347,1,1951-09-08 0:00,1
31493,1,1951-08-09 0:00,1
159619,1,1983-01-18 0:00,1
292780,1,1936-10-03 0:00,1
172338,1,1931-10-31 0:00,1
61564,1,1946-06-11 0:00,1
217842,1,1966-09-28 0:00,1
141003,0,1956-10-13 0:00,1
130560,0,1974-12-15 0:00,1
93759,0,1991-07-13 0:00,1
159280,0,1968-02-16 0:00,1
171768,1,1947-06-21 0:00,1
101345,0,1962-12-15 0:00,1
215337,0,1960-08-22 0:00,1
35625,0,1962-04-29 0:00,1
370136,0,1946-12-11 0:00,1
248364,1,1964-09-26 0:00,1
337588,0,1936-08-11 0:00,1
111206,0,1973-07-12 0:00,1
257351,1,1963-05-21 0:00,1
302368,1,1978-10-29 0:00,1
219696,1,1977-02-26 0:00,1
176012,0,1953-05-06 0:00,1
336078,0,1954-08-23 0:00,1
318667,0,1994-03-28 0:00,1
343441,0,1950-02-21 0:00,1
236058,0,1958-08-30 0:00,1
8708,0,1939-11-30 0:00,1
160082,0,2005-05-24 0:00,1
149600,0,1938-09-08 0:00,1
272380,0,1961-02-07 0:00,1
132124,1,1934-10-16 0:00,1
327844,1,1942-08-03 0:00,1
45289,1,1985-05-06 0:00,1
285744,1,1953-07-10 0:00,1
112813,0,1956-10-06 0:00,1
194851,1,2003-01-20 0:00,1
200676,1,1932-08-12 0:00,1
102992,1,1961-10-21 0:00,1
145002,0,1949-10-11 0:00,1
244767,1,1960-09-15 0:00,1
304790,1,1941-12-17 0:00,1
309141,0,1982-01-02 0:00,1
204418,1,1957-06-20 0:00,1
297919,1,1922-11-11 0:00,1
168430,1,1937-05-16 0:00,1
31269,0,1958-05-05 0:00,1
333976,1,1969-12-28 0:00,1
180807,0,1927-11-01 0:00,1
293572,1,1964-08-31 0:00,1
194864,0,1963-07-02 0:00,1
152794,1,1937-10-30 0:00,1
233087,1,1960-06-17 0:00,1
228245,1,1937-08-10 0:00,1
146079,1,1959-07-12 0:00,1
122671,0,1937-10-23 0:00,1
56821,0,1962-10-31 0:00,1
248777,0,1960-02-06 0:00,1
3444,1,1959-09-01 0:00,1
191550,1,1990-10-24 0:00,1
31426,0,1964-04-23 0:00,1
185320,1,1925-01-18 0:00,1
8565,0,1958-07-01 0:00,1
155574,1,1964-11-23 0:00,1
306373,0,1941-11-13 0:00,1
334214,1,1968-08-25 0:00,1
107074,0,1984-02-20 0:00,1
308924,1,1938-01-06 0:00,1
82051,0,1940-04-08 0:00,1
159305,1,1960-07-11 0:00,1
152111,0,1959-08-07 0:00,1
46952,0,1958-03-28 0:00,1
205801,1,1949-05-26 0:00,1
137639,1,1956-02-08 0:00,1
97799,1,1942-11-11 0:00,1
191482,0,1969-04-03 0:00,1
3199,0,1958-01-09 0:00,1
151244,0,1942-05-27 0:00,1
72539,0,1996-07-01 0:00,1
72864,0,1967-01-21 0:00,1
289612,0,1960-01-31 0:00,1
291793,0,1936-04-12 0:00,1
189915,1,1962-11-09 0:00,1
337729,0,1933-12-05 0:00,1
270727,1,1974-10-22 0:00,1
157059,0,2000-04-13 0:00,1
335873,1,1993-11-24 0:00,1
221239,0,1938-09-24 0:00,1
280192,0,1970-09-18 0:00,1
81388,0,1934-07-20 0:00,1
113154,0,1947-10-21 0:00,1
308587,0,2008-05-03 0:00,1
349843,0,1979-06-09 0:00,1
36723,0,1971-02-13 0:00,1
269511,1,1971-10-25 0:00,1
94383,1,1975-08-19 0:00,1
7880,1,1941-09-05 0:00,1
271494,0,1962-04-01 0:00,1
205419,0,1961-04-27 0:00,1
318,1,1968-03-01 0:00,1
33854,1,1972-05-03 0:00,1
230757,1,1948-08-19 0:00,1
89415,1,1957-02-20 0:00,1
260558,0,1961-01-08 0:00,1
304682,1,1950-02-15 0:00,1
291730,1,1938-05-07 0:00,1
6377,1,1946-04-20 0:00,1
365046,1,1994-02-07 0:00,1
291124,1,1954-02-13 0:00,1
223544,1,1960-07-22 0:00,1
113991,0,1935-08-12 0:00,1
95917,0,1965-02-01 0:00,1
274384,1,2003-09-26 0:00,1
222857,0,1933-11-29 0:00,1
173430,0,1965-01-11 0:00,1
197917,0,1956-09-18 0:00,1
130567,0,1960-12-07 0:00,1
325736,1,2004-05-29 0:00,1
355602,1,1953-10-27 0:00,1
149356,0,1932-05-06 0:00,1
334196,1,1934-05-20 0:00,1
24296,0,1922-10-30 0:00,1
89792,1,1982-12-27 0:00,1
82159,1,1937-07-09 0:00,1
18555,0,1972-05-21 0:00,1
191858,1,1948-06-11 0:00,1
113659,1,1973-01-22 0:00,1
123173,0,1970-07-25 0:00,1
250711,1,1969-07-10 0:00,1
352926,0,1983-12-17 0:00,1
114238,1,1960-07-31 0:00,1
143752,1,1936-02-02 0:00,1
323966,0,1960-03-03 0:00,1
151718,0,1979-07-24 0:00,1
223359,1,1938-08-05 0:00,1
167917,0,1934-10-14 0:00,1
127093,1,1956-07-31 0:00,1
121063,0,1971-07-30 0:00,1
197687,0,1962-11-26 0:00,1
116719,1,1954-08-16 0:00,1
10560,0,1943-03-28 0:00,1
146749,1,1978-07-18 0:00,0
328742,0,1946-01-12 0:00,1
367350,1,1939-03-04 0:00,1
233032,1,1990-03-28 0:00,1
191324,1,1966-02-22 0:00,1
13611,1,2006-09-09 0:00,1
256454,1,1965-02-07 0:00,1
297896,1,1932-05-09 0:00,1
260590,0,1975-05-05 0:00,1
44010,1,1944-06-12 0:00,1
324668,0,1954-05-19 0:00,1
301331,0,1966-07-31 0:00,1
301199,1,1963-07-06 0:00,1
116255,1,1972-11-07 0:00,1
86010,1,1938-12-14 0:00,1
61122,1,1977-06-26 0:00,1
359217,1,1945-01-01 0:00,1
136635,0,1950-05-17 0:00,1
176151,0,1958-09-16 0:00,1
312813,1,1993-02-23 0:00,1
109506,0,1957-05-10 0:00,1
125818,1,1965-03-28 0:00,1
176497,0,1948-10-15 0:00,1
130056,0,1963-02-26 0:00,1
11779,0,1977-07-25 0:00,1
5749,0,1968-08-23 0:00,1
80161,0,1944-12-20 0:00,1
207238,0,1935-01-03 0:00,1
4168,1,1954-11-24 0:00,1
93420,0,1962-10-18 0:00,1
109582,1,1969-04-11 0:00,1
171812,1,1987-01-09 0:00,1
64980,1,1962-08-10 0:00,1
141049,1,1947-10-20 0:00,1
264959,0,1958-08-12 0:00,1
272393,1,1973-01-23 0:00,1
41527,0,1967-11-26 0:00,1
19915,0,1943-10-31 0:00,1
365064,0,1970-10-30 0:00,1
169673,0,1978-05-19 0:00,1
77276,1,1922-01-03 0:00,1
21770,0,1968-04-08 0:00,1
270660,0,1978-12-10 0:00,1
347663,0,1936-08-09 0:00,1
202437,0,1969-12-03 0:00,0
12247,1,2003-04-03 0:00,1
320920,0,1924-12-16 0:00,1
266840,0,1998-07-04 0:00,1
341268,1,1995-01-21 0:00,1
353503,0,1980-04-11 0:00,1
292250,0,1973-01-07 0:00,1
22396,0,1990-11-07 0:00,1
83131,1,1959-01-11 0:00,1
61601,0,1979-06-29 0:00,1
367884,1,1949-12-24 0:00,1
75258,1,1972-04-28 0:00,1
253156,1,1972-10-19 0:00,1
123686,1,1950-04-09 0:00,1
142850,0,1974-08-26 0:00,1
210654,1,1971-05-22 0:00,1
303575,1,1958-10-01 0:00,1
561,0,1973-03-21 0:00,1
355675,0,1968-04-15 0:00,1
73347,0,1962-12-28 0:00,1
309530,1,1957-07-10 0:00,1
288834,1,1954-10-17 0:00,1
193738,0,1960-10-26 0:00,1
154202,0,1982-11-02 0:00,1
301327,0,1973-05-11 0:00,1
18089,1,1944-12-03 0:00,1
54898,0,1964-03-02 0:00,1
44195,1,2003-09-23 0:00,1
252881,1,1961-11-28 0:00,1
76463,0,1945-01-17 0:00,1
41954,1,1962-12-27 0:00,1
343333,0,1929-02-22 0:00,1
341769,1,1963-07-02 0:00,1
168657,1,1921-02-06 0:00,1
130825,1,1976-03-12 0:00,1
127239,0,1938-05-28 0:00,1
62161,0,1985-09-10 0:00,1
204599,0,1963-05-27 0:00,1
145238,1,1981-03-23 0:00,0
172554,1,2003-12-08 0:00,1
215136,0,1983-12-22 0:00,1
102591,0,1966-11-11 0:00,1
166775,1,1927-08-04 0:00,1
362988,1,1953-11-08 0:00,1
357870,1,1930-10-13 0:00,1
177416,0,1954-07-14 0:00,1
182479,1,1974-05-12 0:00,1
78148,0,1928-09-06 0:00,1
47447,1,1970-02-11 0:00,1
293063,0,1971-03-28 0:00,1
279869,0,1961-01-23 0:00,1
8014,0,1972-03-01 0:00,1
70607,1,1961-06-27 0:00,1
34779,1,1958-10-03 0:00,1
167789,0,1963-01-14 0:00,1
28363,1,1986-08-17 0:00,1
326669,0,1962-01-24 0:00,1
317427,1,1979-10-11 0:00,1
9291,1,1983-09-09 0:00,1
151529,0,1979-01-28 0:00,1
310205,0,1952-05-29 0:00,1
225321,0,1930-08-03 0:00,1
31631,1,1958-06-23 0:00,1
73158,0,1964-11-10 0:00,1
67016,1,1984-05-17 0:00,1
196296,1,1927-03-24 0:00,1
147132,0,1918-09-09 0:00,1
71301,0,1993-10-29 0:00,1
124953,0,1973-08-27 0:00,1
251439,1,1996-01-30 0:00,1
40199,1,1972-01-11 0:00,1
6014,1,1958-07-12 0:00,1
226600,0,1940-04-25 0:00,1
292627,0,1970-01-10 0:00,1
364422,1,1958-12-18 0:00,1
150058,1,1957-06-03 0:00,1
292135,1,1990-01-07 0:00,1
199669,1,1990-06-02 0:00,1
145454,1,1970-05-15 0:00,1
177682,0,1966-06-12 0:00,1
243608,1,1939-01-01 0:00,1
209123,0,1931-03-23 0:00,1
249944,0,1959-04-26 0:00,1
220522,0,1976-02-29 0:00,1
125819,0,1977-11-18 0:00,1
187296,1,1962-04-19 0:00,1
139977,0,1941-05-11 0:00,1
70634,1,1983-09-23 0:00,1
335956,1,1948-06-14 0:00,1
208301,0,1964-03-29 0:00,1
6955,0,1922-01-06 0:00,1
31464,1,1975-04-26 0:00,1
105300,0,1970-05-12 0:00,1
361756,0,1932-02-24 0:00,1
222979,1,1948-02-21 0:00,1
349067,0,1954-01-21 0:00,1
97462,1,1996-09-18 0:00,1
227611,0,1961-12-23 0:00,1
86030,1,1941-10-14 0:00,1
9977,0,1956-02-17 0:00,1
312924,1,1963-09-16 0:00,1
247323,1,1987-01-21 0:00,1
349951,0,1992-01-01 0:00,1
267265,1,1928-02-27 0:00,1
345723,1,1985-02-19 0:00,1
101199,1,1946-09-03 0:00,1
4144,0,1974-08-20 0:00,1
130148,0,1941-07-30 0:00,1
105621,0,1974-11-10 0:00,1
254544,1,1971-04-11 0:00,1
278880,0,1991-06-08 0:00,1
168245,0,1987-04-26 0:00,1
251820,1,1970-08-23 0:00,1
30650,1,1959-10-10 0:00,1
124978,1,1972-10-13 0:00,1
234325,1,1946-10-06 0:00,1
138078,1,1939-07-03 0:00,1
192959,0,1960-10-12 0:00,1
281194,1,1957-05-16 0:00,1
193215,1,1958-06-25 0:00,1
157157,0,1930-12-02 0:00,1
5642,1,2005-08-27 0:00,1
360413,0,1944-12-31 0:00,1
91493,1,1969-03-19 0:00,1
339939,1,1970-04-23 0:00,1
5288,1,1935-01-06 0:00,1
199135,0,1990-09-14 0:00,1
33165,1,1994-11-11 0:00,1
146096,0,1941-12-26 0:00,1
147062,0,1943-09-29 0:00,1
3539,1,1988-03-01 0:00,1
339745,0,1953-01-21 0:00,1
148408,0,1940-04-19 0:00,1
219031,1,2003-09-04 0:00,1
208740,0,1997-10-21 0:00,1
305746,0,1959-07-07 0:00,1
289801,0,1972-06-03 0:00,1
273803,0,1941-09-21 0:00,1
31821,0,1967-04-10 0:00,1
86729,0,1952-12-23 0:00,1
325236,1,1985-12-23 0:00,1
275038,1,1998-06-15 0:00,1
350268,0,1937-07-06 0:00,1
154961,0,1970-05-03 0:00,1
42585,0,1962-03-14 0:00,1
301158,0,1997-10-12 0:00,1
240981,1,1964-03-28 0:00,1
17594,1,1983-11-10 0:00,1
63163,1,1985-02-22 0:00,1
314391,1,1933-03-12 0:00,1
102202,0,1956-03-05 0:00,1
164769,1,1930-04-03 0:00,1
109629,1,1942-07-25 0:00,1
186948,0,1938-04-19 0:00,1
226348,1,1963-06-19 0:00,1
337192,0,1993-01-15 0:00,1
18697,0,1947-11-17 0:00,1
100471,1,1944-07-05 0:00,1
339176,1,1934-07-24 0:00,1
188316,0,2007-01-01 0:00,1
202496,1,1963-07-11 0:00,1
60908,0,1992-11-29 0:00,1
61492,0,1970-01-21 0:00,1
79183,1,2000-02-20 0:00,1
105334,1,1995-08-09 0:00,1
87730,1,1941-04-01 0:00,1
97814,0,1961-07-26 0:00,1
304305,0,1942-12-12 0:00,1
94206,1,1955-03-29 0:00,1
210569,0,1936-06-01 0:00,1
199236,1,1960-04-09 0:00,1
12373,1,1958-10-20 0:00,1
38329,0,1951-09-16 0:00,1
60227,1,1934-07-01 0:00,1
227134,0,1956-09-30 0:00,1
191781,1,1965-05-10 0:00,1
62183,0,1964-03-18 0:00,1
294325,1,1942-06-02 0:00,1
56864,1,1962-08-21 0:00,1
364326,1,1968-01-09 0:00,1
252911,1,1998-06-13 0:00,1
17113,1,1983-11-13 0:00,1
282962,0,1968-04-28 0:00,1
340427,1,1987-07-10 0:00,1
301881,1,1965-11-04 0:00,1
262292,0,1930-08-01 0:00,1
311379,0,1963-12-23 0:00,1
89580,1,1973-08-02 0:00,1
51225,1,1960-04-16 0:00,1
276130,0,1921-09-10 0:00,1
332545,1,1978-09-25 0:00,1
336110,1,1926-04-24 0:00,1
334768,1,1934-03-16 0:00,1
32863,0,1948-01-31 0:00,1
229257,1,1941-05-10 0:00,1
360838,1,1976-03-22 0:00,0
10034,0,1968-03-14 0:00,1
153711,0,1967-03-15 0:00,1
266148,0,1968-03-20 0:00,1
107224,0,1969-01-02 0:00,1
266097,0,1939-09-01 0:00,1
353636,0,1953-08-01 0:00,1
50670,0,1959-03-24 0:00,1
171155,0,1939-03-02 0:00,1
332623,1,1924-04-29 0:00,1
247954,1,1951-07-06 0:00,1
160250,1,1964-12-06 0:00,1
204820,0,1961-12-17 0:00,1
92509,1,1973-10-31 0:00,1
51792,1,1931-10-09 0:00,1
200249,1,2003-05-11 0:00,1
180840,1,1970-08-31 0:00,1
171520,0,1941-01-28 0:00,1
43846,0,1945-01-19 0:00,1
58990,0,1967-09-03 0:00,1
225231,1,1969-03-14 0:00,1
354507,1,1974-07-27 0:00,1
17754,1,1966-05-10 0:00,1
360015,0,1955-10-08 0:00,1
205210,1,1997-12-18 0:00,1
201690,1,1976-02-15 0:00,1
27856,0,1981-03-01 0:00,1
276489,0,1959-05-04 0:00,1
103392,1,1950-02-13 0:00,1
157530,1,1980-03-16 0:00,1
259893,0,1958-12-16 0:00,1
278515,0,1933-12-09 0:00,0
134643,0,1940-01-27 0:00,1
165327,1,1985-04-08 0:00,1
273039,0,1964-12-01 0:00,1
76938,1,1981-12-04 0:00,1
215803,0,1966-01-18 0:00,1
315249,0,1961-06-27 0:00,1
329911,0,1970-11-14 0:00,1
195318,1,1958-05-21 0:00,1
333809,1,1964-07-03 0:00,1
251071,1,1950-11-04 0:00,1
287728,1,1995-08-05 0:00,1
197756,0,1982-10-18 0:00,1
533,1,1931-06-11 0:00,1
178138,0,1944-04-26 0:00,1
44933,0,1959-09-28 0:00,1
39052,1,1975-04-17 0:00,1
352822,1,1979-04-30 0:00,1
99286,0,1950-11-27 0:00,1
360636,0,1972-01-19 0:00,1
146748,0,1936-10-07 0:00,1
9363,1,1960-07-12 0:00,1
153088,0,1975-04-28 0:00,1
229720,1,1966-09-14 0:00,1
138868,1,2003-03-29 0:00,1
91233,1,1968-05-18 0:00,1
212698,0,1938-05-31 0:00,1
234086,1,1936-09-24 0:00,1
53017,0,1932-07-29 0:00,1
42331,1,1967-05-21 0:00,1
265592,0,1998-01-29 0:00,1
154711,0,1942-04-18 0:00,1
139440,0,1943-05-19 0:00,1
322212,1,1938-12-15 0:00,1
70185,0,1974-08-12 0:00,1
10934,0,1979-08-15 0:00,1
316388,0,1958-07-29 0:00,1
199791,0,1973-10-15 0:00,1
198590,0,1978-12-11 0:00,1
284948,1,1933-07-11 0:00,1
93140,1,1965-11-12 0:00,1
49983,0,1918-09-22 0:00,1
204516,1,1981-07-10 0:00,1
46324,1,1943-09-06 0:00,1
300561,1,1969-01-30 0:00,1
241704,1,1964-11-14 0:00,1
2918,0,1970-04-29 0:00,1
139945,1,1971-10-08 0:00,1
58745,1,2003-01-09 0:00,1
70072,0,1967-02-10 0:00,1
256039,1,1953-06-19 0:00,1
150104,1,1937-04-15 0:00,1
47727,1,1976-10-17 0:00,1
245550,1,1958-03-22 0:00,1
4138,0,1969-08-14 0:00,1
82171,0,1956-06-14 0:00,1
280920,1,1978-07-25 0:00,1
78419,1,1923-02-04 0:00,1
358926,0,1953-04-30 0:00,1
155517,0,1942-02-14 0:00,1
56403,0,1967-09-01 0:00,1
240089,1,1954-11-20 0:00,1
171431,1,1931-09-02 0:00,1
203261,1,1969-08-16 0:00,1
333116,1,1985-03-24 0:00,1
262828,0,1962-05-25 0:00,1
34560,1,1964-07-11 0:00,1
51179,0,1964-12-04 0:00,1
227224,1,1985-07-01 0:00,1
226562,0,1965-04-16 0:00,1
239512,0,1946-08-26 0:00,1
228309,1,1947-02-03 0:00,1
247906,0,1970-08-17 0:00,1
319526,1,1974-02-03 0:00,1
175399,1,1968-04-13 0:00,1
46307,1,1942-06-28 0:00,1
243262,0,1944-12-22 0:00,1
135767,0,1969-07-22 0:00,1
244381,1,1972-12-25 0:00,1
200828,1,1942-07-15 0:00,1
309409,1,1955-05-16 0:00,1
148815,0,2005-10-24 0:00,1
146899,0,1975-10-31 0:00,1
120747,0,1942-04-07 0:00,1
189973,1,1949-11-22 0:00,1
359881,0,1927-07-14 0:00,1
55104,0,1964-08-29 0:00,1
219069,0,1994-04-12 0:00,1
274374,1,1963-03-02 0:00,1
145713,0,1966-01-17 0:00,1
311247,0,1972-02-27 0:00,1
337385,1,1949-04-11 0:00,1
22488,1,1970-12-17 0:00,1
345235,1,1953-01-04 0:00,1
289798,1,1986-07-03 0:00,1
232386,0,1977-08-11 0:00,1
151375,0,1943-06-27 0:00,1
197264,0,1937-08-11 0:00,1
321811,1,1950-11-12 0:00,1
161574,1,1967-01-23 0:00,1
271652,1,1940-04-01 0:00,1
41425,0,1973-02-19 0:00,1
188244,1,1943-07-19 0:00,1
194989,1,1964-08-03 0:00,1
40068,0,1947-04-22 0:00,1
366999,0,1969-03-19 0:00,1
235892,0,1949-03-17 0:00,1
225003,0,1970-12-17 0:00,1
266215,0,1953-06-03 0:00,1
56614,0,1937-04-12 0:00,1
344071,0,1939-03-22 0:00,1
91905,0,1969-09-28 0:00,1
337769,0,1978-06-11 0:00,1
117870,0,1952-05-27 0:00,1
40259,1,1952-02-13 0:00,1
47356,0,1963-09-07 0:00,1
250859,1,1929-03-23 0:00,1
345135,0,1941-06-11 0:00,1
57491,1,1988-03-21 0:00,1
215089,0,1995-01-14 0:00,1
216312,1,1943-08-01 0:00,1
21243,0,1927-07-21 0:00,1
184369,1,1966-10-31 0:00,1
217609,1,1971-09-23 0:00,1
90707,1,1952-09-02 0:00,1
220253,0,1970-07-17 0:00,1
31771,1,1961-12-04 0:00,1
231909,1,1945-03-01 0:00,1
171309,0,1961-04-17 0:00,1
193321,0,1964-10-28 0:00,1
81385,0,1979-09-22 0:00,1
198195,1,1940-09-08 0:00,1
349212,0,1972-08-03 0:00,1
342095,1,1962-03-12 0:00,1
212601,0,1925-10-04 0:00,1
283897,1,1981-12-18 0:00,1
188463,0,1965-01-11 0:00,1
225960,0,1954-07-30 0:00,1
239235,1,1943-09-01 0:00,1
21392,1,1968-03-22 0:00,1
24848,1,1988-10-30 0:00,1
136038,1,1952-02-20 0:00,1
96314,1,1960-07-27 0:00,1
196366,0,1965-06-09 0:00,1
195574,1,1956-06-26 0:00,1
266690,1,2004-07-28 0:00,1
75000,1,1966-05-08 0:00,1
177794,0,1944-02-17 0:00,1
57726,0,1967-01-12 0:00,1
246954,1,1962-09-25 0:00,1
289081,1,1937-06-18 0:00,1
326714,1,1946-12-12 0:00,1
80368,0,1964-10-15 0:00,1
92737,1,1977-06-02 0:00,1
242148,0,1939-02-19 0:00,1
203156,0,1965-08-29 0:00,1
84823,0,1973-04-25 0:00,1
52406,1,1974-12-25 0:00,1
203529,1,1978-04-09 0:00,1
235409,1,1967-01-13 0:00,1
177107,1,1937-03-20 0:00,1
310390,0,1962-11-05 0:00,1
240952,1,1957-06-11 0:00,1
110620,0,1932-01-16 0:00,1
150282,1,1951-09-29 0:00,1
303073,0,1922-08-17 0:00,1
216146,1,1963-02-19 0:00,1
322011,1,2000-01-29 0:00,1
130039,1,1941-08-30 0:00,1
140704,0,1940-07-29 0:00,1
329825,0,1946-10-25 0:00,1
357195,1,1954-08-10 0:00,1
361277,0,1972-07-16 0:00,1
62072,1,1971-04-12 0:00,1
238112,0,1940-01-03 0:00,1
331902,1,1948-11-07 0:00,1
103530,1,1932-06-28 0:00,1
336306,1,1940-03-18 0:00,1
317334,1,1958-02-04 0:00,1
81641,1,1945-09-01 0:00,1
355157,0,1955-11-11 0:00,1
305030,0,1957-04-26 0:00,1
89715,0,1979-01-23 0:00,1
58001,1,1979-05-04 0:00,1
181978,1,1955-03-23 0:00,1
212329,1,1935-03-28 0:00,1
348376,1,1969-10-18 0:00,1
71427,1,1958-08-28 0:00,1
144847,0,1969-09-13 0:00,1
288776,1,1946-05-13 0:00,1
328479,1,1974-08-20 0:00,1
120801,0,1988-06-17 0:00,1
344536,1,1930-04-08 0:00,1
224338,1,1949-06-22 0:00,1
33024,0,1952-07-12 0:00,1
346728,1,1942-12-15 0:00,1
275384,1,1968-07-20 0:00,1
119207,0,1980-09-20 0:00,1
144011,0,1982-09-03 0:00,1
209764,1,1962-06-18 0:00,1
101649,0,1972-09-29 0:00,1
38108,0,1978-09-08 0:00,1
88252,1,1949-07-21 0:00,1
164124,1,1985-09-12 0:00,1
88521,1,1984-11-18 0:00,1
326425,0,1957-03-26 0:00,1
225142,1,1964-07-25 0:00,1
106060,0,1961-04-07 0:00,1
285891,1,1950-09-19 0:00,1
235431,0,1950-10-11 0:00,1
238842,1,1969-01-25 0:00,1
361750,0,1937-12-13 0:00,1
34671,1,1966-02-17 0:00,1
241801,0,1961-06-07 0:00,1
314911,0,1954-03-04 0:00,1
16650,1,1940-08-23 0:00,1
253941,0,1964-02-27 0:00,1
352801,1,1941-01-26 0:00,1
231565,0,1934-11-02 0:00,1
370625,1,1966-08-20 0:00,1
305342,1,1939-11-24 0:00,1
328681,1,1934-02-02 0:00,1
99648,1,1965-02-28 0:00,1
317273,0,1950-06-25 0:00,1
155663,1,1948-12-06 0:00,1
296114,1,1983-02-20 0:00,1
341329,1,1998-07-09 0:00,1
96055,0,1923-08-31 0:00,1
272066,0,1977-08-27 0:00,1
362025,0,1976-11-27 0:00,1
333131,1,1940-08-09 0:00,1
300299,1,1947-06-19 0:00,1
153393,0,1977-12-07 0:00,1
63217,0,1970-01-29 0:00,1
79444,1,1939-08-11 0:00,1
294714,1,1971-04-30 0:00,1
307363,1,1972-11-08 0:00,1
207924,0,1926-03-29 0:00,1
151767,0,1948-06-11 0:00,1
281244,0,1969-03-05 0:00,1
186653,0,1965-11-29 0:00,1
118604,1,1962-02-20 0:00,1
217109,1,1963-03-26 0:00,1
320717,0,1968-05-01 0:00,1
238921,0,1949-09-01 0:00,1
273019,1,1981-07-29 0:00,1
223407,1,1969-02-27 0:00,1
315594,1,1944-08-09 0:00,1
88362,0,1961-03-13 0:00,1
237021,0,1958-03-11 0:00,1
250311,1,1965-03-04 0:00,1
177461,1,1942-08-19 0:00,1
290810,0,1967-04-12 0:00,1
123877,0,1966-12-29 0:00,1
367969,1,1955-05-13 0:00,1
369463,0,1977-02-15 0:00,1
196473,1,1951-09-29 0:00,1
44865,0,1965-03-30 0:00,1
349028,1,1969-05-09 0:00,1
81743,1,1965-09-13 0:00,1
306705,0,1928-01-22 0:00,1
278700,0,1926-01-11 0:00,1
360158,1,1937-01-20 0:00,1
288287,0,1969-02-17 0:00,1
150300,1,1992-09-04 0:00,1
174210,0,1964-02-29 0:00,1
279779,0,1965-06-08 0:00,1
160499,1,1969-01-26 0:00,1
306184,0,1940-12-24 0:00,1
333494,1,1963-05-28 0:00,1
325441,1,1997-12-09 0:00,1
350854,0,1969-09-26 0:00,1
3255,0,1960-12-07 0:00,1
198039,0,1926-12-17 0:00,1
